node,synset,,aoa
n04228054,Synset('ski.n.01'),,6.68
n02445715,Synset('skunk.n.04'),,5.32
n01944390,Synset('snail.n.01'),,5.79
n04251144,Synset('snorkel.n.01'),,9.11
n04252077,Synset('snowmobile.n.01'),,8.78
n04252225,Synset('snowplow.n.01'),,8.21
n04254777,Synset('sock.n.01'),,2.94
n04270147,Synset('spatula.n.01'),,7.32
n04273569,Synset('speedboat.n.01'),,6.5
n02006656,Synset('spoonbill.n.01'),,16
n02317335,Synset('starfish.n.01'),,5.76
n04317175,Synset('stethoscope.n.01'),,8.5
n04325704,Synset('stole.n.01'),,6.05
n04328186,Synset('stopwatch.n.01'),,8.33
n04332243,Synset('strainer.n.01'),,9.63
n07745940,Synset('strawberry.n.01'),,4.21
n04335435,Synset('streetcar.n.01'),,9.95
n02640242,Synset('sturgeon.n.01'),,10.5
n04347754,Synset('submarine.n.01'),,7.94
n04350905,Synset('suit.n.01'),,6.67
n04355338,Synset('sundial.n.01'),,8.68
n04355933,Synset('sunglass.n.01'),,5.28
n04356056,Synset('sunglasses.n.01'),,5.56
n04357314,Synset('sunscreen.n.01'),,5.33
n04367480,Synset('swab.n.02'),,8.94
n04370456,Synset('sweatshirt.n.01'),,5
n04372370,Synset('switch.n.01'),,4.78
n04376876,Synset('syringe.n.01'),,10.63
n04389033,Synset('tank.n.01'),,7.17
n04398044,Synset('teapot.n.01'),,6.22
n04428191,Synset('thresher.n.01'),,12.54
n04429376,Synset('throne.n.01'),,7.28
n04456115,Synset('torch.n.01'),,7.84
n01843383,Synset('toucan.n.01'),,8.69
n04465501,Synset('tractor.n.01'),,5.5
n04476259,Synset('tray.n.01'),,6.05
n01704323,Synset('triceratops.n.01'),,5.33
n04482393,Synset('tricycle.n.01'),,4.05
n07613480,Synset('trifle.n.01'),,12.17
n04485082,Synset('tripod.n.01'),,9.26
n04487394,Synset('trombone.n.01'),,7.83
n04501370,Synset('turnstile.n.01'),,13.67
n01871265,Synset('tusker.n.01'),,14.71
n04507155,Synset('umbrella.n.01'),,5.68
n04509417,Synset('unicycle.n.01'),,7.26
n09468604,Synset('valley.n.01'),,7.94
n04522168,Synset('vase.n.01'),,7.89
n04525038,Synset('velvet.n.01'),,7.61
n04532106,Synset('vestment.n.01'),,14.15
n04532670,Synset('viaduct.n.01'),,13.33
n04536866,Synset('violin.n.01'),,7.45
n01616318,Synset('vulture.n.01'),,8.89
n01877812,Synset('wallaby.n.01'),,12.36
n04548362,Synset('wallet.n.01'),,5.89
n04550184,Synset('wardrobe.n.01'),,7.84
n04552348,Synset('warplane.n.01'),,8.22
n02397096,Synset('warthog.n.01'),,7.82
n06359193,Synset('web_site.n.01'),,
n02091134,Synset('whippet.n.01'),,13.07
n04584207,Synset('wig.n.01'),,5.63
n02396427,Synset('wild_boar.n.01'),,
n04596742,Synset('wok.n.01'),,12.27
n01883070,Synset('wombat.n.01'),,11.31
n02325366,Synset('wood_rabbit.n.01'),,
n04599235,Synset('wool.n.01'),,8.06
n04612504,Synset('yawl.n.01'),,11.44
n04613696,Synset('yurt.n.01'),,18.6
n02391049,Synset('zebra.n.01'),,4.79
