,node,synset,Unnamed: 2,aoa,A,k
134,n02510455,Synset('giant_panda.n.01'),,,,
135,n03443371,Synset('goblet.n.01'),,11.44,33.038398504582744,0.3921085040320305
136,n01443537,Synset('goldfish.n.01'),,4.5,37.2063820879253,0.15962147732926266
137,n03447721,Synset('gong.n.01'),,9.62,48.39966259424028,0.5550181325205583
138,n01855672,Synset('goose.n.01'),,5.15,28.07840446869355,0.6235627809544243
139,n02480855,Synset('gorilla.n.01'),,5.74,37.88136859464565,1.0511661597065771
140,n03450230,Synset('gown.n.01'),,6.16,46.2377059225113,0.8023878828542393
141,n02226429,Synset('grasshopper.n.01'),,5.78,30.205112201721576,0.14750494470893044
142,n03457902,Synset('greenhouse.n.01'),,9.22,49.32976529678062,0.7605856464190387
143,n02066245,Synset('grey_whale.n.01'),,,,
144,n03461385,Synset('grocery_store.n.01'),,,,
145,n10148035,Synset('groom.n.01'),,7.78,38.757486201314904,0.910350591650629
146,n07583066,Synset('guacamole.n.01'),,9.68,46.34291338773234,0.15276571333204178
147,n02342885,Synset('hamster.n.01'),,4.37,73.80449120248763,0.4603667499080047
148,n03485794,Synset('handkerchief.n.01'),,7.22,50.904929399181015,0.20816705882233394
149,n02326432,Synset('hare.n.01'),,6.78,68.81049522715007,0.19896587597402798
150,n03494278,Synset('harmonica.n.01'),,7.32,16.33684526084662,0.10184146061721112
151,n03495258,Synset('harp.n.01'),,7.55,58.40173474113362,1.1203224741396827
152,n07802026,Synset('hay.n.01'),,5.32,59.98868134378924,0.4745873549458799
153,n02398521,Synset('hippopotamus.n.01'),,7.0,52.03552850359885,0.39457779953013083
154,n02395406,Synset('hog.n.03'),,5.7,100.00023516526,0.0014982142007376777
155,n03527444,Synset('holster.n.01'),,10.32,39.15561122100348,0.04870216838078615
156,n03534580,Synset('hoopskirt.n.01'),,10.89,43.110542388977166,0.4692123639686246
157,n07590611,Synset('hot_pot.n.01'),,,,
158,n03544143,Synset('hourglass.n.01'),,8.58,57.64511827337807,0.8880524119516926
159,n01532829,Synset('house_finch.n.01'),,,,
160,n01833805,Synset('hummingbird.n.01'),,6.95,58.336968314313,0.4808760887914772
161,n02117135,Synset('hyena.n.01'),,6.61,41.8779461644533,0.6055652541640776
162,n02417914,Synset('ibex.n.01'),,11.71,36.91972064885354,0.15322576161844684
163,n07614500,Synset('ice_cream.n.01'),,,,
164,n07615774,Synset('ice_lolly.n.01'),,,,
165,n02422699,Synset('impala.n.01'),,11.75,52.992815495670456,1.4544868978386123
166,n02128925,Synset('jaguar.n.01'),,7.78,82.64957135108489,0.8918250780982268
167,n03594734,Synset('jean.n.01'),,6.12,40.40356348587227,0.17509806498519817
168,n03594945,Synset('jeep.n.01'),,6.32,41.477369849963644,1.4350532795111997
169,n03599486,Synset('jinrikisha.n.01'),,,,
170,n01534433,Synset('junco.n.01'),,11.2,58.30865270563457,1.3430753854183355
171,n03617480,Synset('kimono.n.01'),,11.37,43.78258502925218,0.816871154007927
172,n01882714,Synset('koala.n.01'),,6.0,63.4221704739821,1.217576280898898
173,n03633091,Synset('ladle.n.01'),,9.83,4.233453694638092,0.36348695156234584
174,n02165456,Synset('ladybug.n.01'),,4.84,32.221308727746845,0.21998979460876641
175,n09332890,Synset('lakeside.n.01'),,,,
176,n03637318,Synset('lampshade.n.01'),,5.63,51.4628241106287,0.25376734848087923
177,n03642806,Synset('laptop.n.01'),,12.44,32.37030556919231,0.8648162418902793
178,n03649909,Synset('lawn_mower.n.01'),,,,
179,n07749582,Synset('lemon.n.01'),,4.74,40.75215486160378,0.19806078544038425
180,n03662601,Synset('lifeboat.n.01'),,7.72,58.17860430180613,0.3453035259269442
181,n03670208,Synset('limousine.n.01'),,8.17,36.27994092341222,0.5470758867895765
182,n02129165,Synset('lion.n.01'),,4.42,33.07961651521672,0.19060057571733433
183,n02643566,Synset('lionfish.n.01'),,10.94,80.19475510222792,1.0375002258447958
184,n03676483,Synset('lipstick.n.01'),,5.42,22.893671834999278,0.1260123804763457
185,n02437616,Synset('llama.n.01'),,8.61,19.14078771068903,0.03444799818037442
186,n03690938,Synset('lotion.n.01'),,5.83,55.13973021111398,0.1989064319172057
187,n03691459,Synset('loudspeaker.n.01'),,10.0,48.905788694953884,0.14980841607442225
188,n03692522,Synset('loupe.n.01'),,16.15,10.032192898039524,0.3948132014190992
189,n02127052,Synset('lynx.n.02'),,10.53,33.571791134573346,0.15234961515191073
190,n02487347,Synset('macaque.n.01'),,13.33,22.136780309003132,0.30526776368560965
191,n01818515,Synset('macaw.n.01'),,8.8,35.1675079611017,0.23012723273213176
192,n01582220,Synset('magpie.n.01'),,10.47,37.75620193398289,0.17170901945191921
193,n03710193,Synset('mailbox.n.01'),,6.11,40.113109134678105,0.46869235192392344
194,n02110063,Synset('malamute.n.01'),,11.83,46.42010642076498,0.09250843553483594
195,n02236044,Synset('mantis.n.01'),,9.28,33.06143255425711,0.839169325898561
196,n03720891,Synset('maraca.n.01'),,9.08,11.303717307563907,1.0533474251047588
197,n03721384,Synset('marimba.n.01'),,14.0,27.347275567138478,0.09507149026233658
198,n02490219,Synset('marmoset.n.01'),,13.0,36.95030355551479,0.153594816429701
199,n02361337,Synset('marmot.n.01'),,13.91,57.738357041482914,0.2741132779967532
200,n03724870,Synset('mask.n.01'),,4.8,43.25447990859804,0.02567246158787541
201,n03729826,Synset('matchstick.n.01'),,6.74,44.68178671986001,0.8171212747605998
202,n03733131,Synset('maypole.n.01'),,8.08,51.15164211057072,0.2682628993868857
203,n03733281,Synset('maze.n.01'),,7.11,48.58713635406238,0.7835177498645916
204,n07871810,Synset('meat_loaf.n.01'),,,,
205,n03743016,Synset('megalith.n.01'),,15.36,49.3015064733807,0.09515563571907186
206,n03759954,Synset('microphone.n.01'),,6.25,12.921537581670542,0.11676091015566917
207,n03769881,Synset('minibus.n.01'),,12.24,73.52117434609328,0.7555335878534264
208,n03770439,Synset('miniskirt.n.01'),,10.47,27.36448527987203,0.2552711056254578
209,n03770679,Synset('minivan.n.01'),,7.5,41.11486831282919,0.20612867255508202
210,n03773504,Synset('missile.n.01'),,7.22,20.143227864125304,0.06283269890710957
211,n03775071,Synset('mitten.n.01'),,4.72,54.6078124895836,0.6058030599550873
212,n03777754,Synset('modem.n.01'),,13.75,15.642612275535273,0.42520920732019196
213,n03781244,Synset('monastery.n.01'),,10.26,41.78059295794074,0.24482647797023266
214,n02137549,Synset('mongoose.n.01'),,9.94,27.57492726132233,0.1100201938318065
215,n03785016,Synset('moped.n.01'),,9.39,53.67441205678407,0.35678883736118544
216,n03788195,Synset('mosque.n.01'),,14.12,62.62912937947139,0.2226866020112975
217,n03794056,Synset('mousetrap.n.01'),,6.78,100.00085395463036,0.002521333410976065
218,n03814906,Synset('necklace.n.01'),,5.0,67.94188188323712,0.6335308164772342
219,n03837869,Synset('obelisk.n.01'),,13.67,65.34733407024378,0.6533632539870087
220,n03838899,Synset('oboe.n.01'),,10.78,30.574689114817446,0.13184215303750474
221,n03840681,Synset('ocarina.n.01'),,12.5,32.03684159444963,0.02032912672961746
222,n07747607,Synset('orange.n.01'),,3.26,36.18948601222114,0.24895983552126807
223,n02480495,Synset('orangutan.n.01'),,7.83,26.775339679614532,1.4339846243443577
224,n03857828,Synset('oscilloscope.n.01'),,15.75,59.617627402974605,0.9095695885133507
225,n02403003,Synset('ox.n.01'),,4.72,24.68100416938591,1.6119064260703722
226,n03868242,Synset('oxcart.n.01'),,10.0,49.57052648558111,0.4555816159024934
227,n03874599,Synset('padlock.n.01'),,8.84,25.49810737344049,0.05032764490839485
228,n03876231,Synset('paintbrush.n.01'),,6.22,2.8079098389785435,0.1582419153543483
229,n03884397,Synset('panpipe.n.01'),,12.27,34.78023274843879,0.11225244227693908
230,n03888257,Synset('parachute.n.01'),,7.0,71.58795080309089,1.0870141842224046
231,n03895866,Synset('passenger_car.n.01'),,,,
232,n03899768,Synset('patio.n.01'),,8.0,29.471584869284897,0.04033057629414363
233,n02051845,Synset('pelican.n.01'),,8.22,38.114521878078506,0.12184932480668939
234,n03924679,Synset('photocopier.n.01'),,10.22,74.13724120958008,0.5996358130749185
235,n03930630,Synset('pickup.n.01'),,7.05,54.687311403289655,0.4159378213998632
236,n03938244,Synset('pillow.n.01'),,3.47,41.60631863045114,0.26803392269333065
237,n07873807,Synset('pizza.n.01'),,4.67,59.04535927590834,1.4514166919917764
238,n03956157,Synset('planetarium.n.01'),,9.63,55.075109158979345,0.6296302763122279
239,n01873310,Synset('platypus.n.01'),,7.71,35.45681244418266,1.3864369421307678
240,n03967562,Synset('plow.n.01'),,7.11,50.858862071885106,1.6048055027976496
241,n03976657,Synset('pole.n.01'),,5.63,19.806219871416037,0.08181263745415093
242,n03980874,Synset('poncho.n.01'),,8.84,57.47449608562083,1.6013586800169592
243,n02346627,Synset('porcupine.n.01'),,6.89,66.65434839999874,0.7984505588110855
244,n03991062,Synset('pot.n.04'),,5.95,36.18423189270532,0.049885468331585484
245,n07875152,Synset('potpie.n.01'),,8.11,38.56396397009702,0.31500495464969647
246,n07695742,Synset('pretzel.n.01'),,5.0,23.59635444111678,0.254257078927015
247,n04005630,Synset('prison.n.01'),,7.5,45.30427110729135,0.09847974445906171
248,n04008634,Synset('projectile.n.01'),,10.21,6.896235550191722,1.0604698175745588
249,n09399592,Synset('promontory.n.01'),,14.18,68.5769417959037,1.1233244271593248
250,n02110958,Synset('pug.n.01'),,9.17,22.256166646021033,0.10122744323241001
251,n04033901,Synset('quill.n.01'),,9.04,22.357835678172258,0.02896066918799338
252,n04033995,Synset('quilt.n.01'),,6.55,36.95891188684552,0.09051163341751228
253,n11879895,Synset('rapeseed.n.01'),,14.36,59.90511876507183,0.8404524305208347
254,n02090379,Synset('redbone.n.01'),,12.89,28.47592186058596,0.03009666576991752
255,n04070727,Synset('refrigerator.n.01'),,4.11,44.710613841853664,0.14720144696734427
256,n04074963,Synset('remote_control.n.01'),,,,
257,n04081281,Synset('restaurant.n.01'),,5.95,37.37583970096814,0.5209228842409988
258,n04086273,Synset('revolver.n.01'),,9.26,62.85018195015864,0.24702167998264324
259,n04090263,Synset('rifle.n.01'),,7.85,15.835735327371532,0.015001107849539787
260,n04111531,Synset('rotisserie.n.01'),,11.26,40.72678376389348,0.16083345368190183
261,n04125021,Synset('safe.n.01'),,5.11,50.289428484389816,0.282869220112311
262,n04131690,Synset('saltshaker.n.01'),,5.42,32.496836040227485,0.30534724194951446
263,n04133789,Synset('sandal.n.01'),,5.21,31.250966776719135,0.050914034151178095
264,n09421951,Synset('sandbar.n.01'),,10.41,58.47359820727916,0.21591538631513313
265,n04136333,Synset('sarong.n.01'),,12.92,11.010762342046608,0.12545192309607767
266,n04141076,Synset('sax.n.02'),,8.75,49.565840100601285,0.17072282348248208
267,n04141327,Synset('scabbard.n.01'),,14.09,50.414061175768396,0.5069195159735851
268,n04149813,Synset('scoreboard.n.01'),,7.37,46.151195994225304,0.33947795295741806
269,n04154565,Synset('screwdriver.n.01'),,6.0,2.7440204418485297,0.4937874857513761
270,n09428293,Synset('seashore.n.01'),,6.44,41.73000077816528,0.5153702688178039
271,n04162706,Synset('seat_belt.n.01'),,,,
272,n04208210,Synset('shovel.n.01'),,6.28,9.586373186896461,0.16595280375031127
273,n01756291,Synset('sidewinder.n.01'),,11.25,31.604238547144067,0.1805234061391132
274,n04228054,Synset('ski.n.01'),,6.68,50.286932078161236,0.6613873886492716
275,n02445715,Synset('skunk.n.04'),,5.32,54.71477214850683,0.8169867071593331
276,n01944390,Synset('snail.n.01'),,5.79,40.01881954810021,0.016742753715103777
277,n04251144,Synset('snorkel.n.01'),,9.11,39.30624039317722,0.5064899778412019
278,n04252077,Synset('snowmobile.n.01'),,8.78,59.55425715183397,1.282466521465104
279,n04252225,Synset('snowplow.n.01'),,8.21,56.890334126388915,0.28811759662566994
280,n04254777,Synset('sock.n.01'),,2.94,42.024867716182094,0.7299706709832534
281,n04270147,Synset('spatula.n.01'),,7.32,100.00000259772881,0.0003525685987714299
282,n04273569,Synset('speedboat.n.01'),,6.5,73.82075262781885,0.8938817488738923
283,n02006656,Synset('spoonbill.n.01'),,16.0,49.121067939179724,0.13773303600956932
284,n02317335,Synset('starfish.n.01'),,5.76,45.1083335567271,0.184535755139195
285,n04317175,Synset('stethoscope.n.01'),,8.5,13.74422495235694,0.14246783921322254
286,n04325704,Synset('stole.n.01'),,6.05,27.069027573011223,1.0592597633361704
287,n04328186,Synset('stopwatch.n.01'),,8.33,25.06072650149759,0.19966247416554195
288,n04332243,Synset('strainer.n.01'),,9.63,11.188770985163096,0.10058308733455738
289,n07745940,Synset('strawberry.n.01'),,4.21,28.30566309675029,0.16870042585037148
290,n04335435,Synset('streetcar.n.01'),,9.95,76.65248471943356,1.1438952983973554
291,n02640242,Synset('sturgeon.n.01'),,10.5,31.31650196777762,0.9600516755475031
292,n04347754,Synset('submarine.n.01'),,7.94,38.36089785894968,0.8469666998059836
293,n04350905,Synset('suit.n.01'),,6.67,41.68826553201377,0.6825715761346343
294,n04355338,Synset('sundial.n.01'),,8.68,35.48466183455561,0.16996945989528814
295,n04355933,Synset('sunglass.n.01'),,5.28,19.94656778199809,0.0267852899154913
296,n04356056,Synset('sunglasses.n.01'),,5.56,17.99655327767257,0.04968718058814262
297,n04357314,Synset('sunscreen.n.01'),,5.33,3.5824457416968185,0.1870104980264348
298,n04367480,Synset('swab.n.02'),,8.94,14.896085231526394,0.14459479422127453
299,n04370456,Synset('sweatshirt.n.01'),,5.0,26.067154309743742,1.1877562846440137
300,n04372370,Synset('switch.n.01'),,4.78,24.24460901667413,1.298094757492672
301,n04376876,Synset('syringe.n.01'),,10.63,8.446726820288406,0.023145643643035674
302,n04389033,Synset('tank.n.01'),,7.17,28.07675387119827,0.06823893370331045
303,n04398044,Synset('teapot.n.01'),,6.22,41.02966832583026,0.9422755999969241
304,n04428191,Synset('thresher.n.01'),,12.54,45.52786271123284,0.5666357179380376
305,n04429376,Synset('throne.n.01'),,7.28,43.07600449319524,0.16172873359510442
306,n04456115,Synset('torch.n.01'),,7.84,14.489762917546905,0.32765148997409727
307,n01843383,Synset('toucan.n.01'),,8.69,45.52728001725957,0.15785623751500255
308,n04465501,Synset('tractor.n.01'),,5.5,55.39001879422793,0.3818342137184459
